Rank,Title,Year,Runtime,Certificate,Rating,URL
Good,Will Hunting,1997,2h 6m,15,"8.4
 (1.2M)",https://www.imdb.com/title/tt0119217/?ref_=chttp_t_74
The,Dark Knight Rises,2012,2h 44m,12A,"8.4
 (2M)",https://www.imdb.com/title/tt1345836/?ref_=chttp_t_75
Coco,,2017,1h 45m,PG,"8.4
 (714K)",https://www.imdb.com/title/tt2380307/?ref_=chttp_t_76
Amadeus,,1984,2h 40m,PG,"8.4
 (470K)",https://www.imdb.com/title/tt0086879/?ref_=chttp_t_77
Toy,Story,1995,1h 21m,PG,"8.3
 (1.2M)",https://www.imdb.com/title/tt0114709/?ref_=chttp_t_78
Your,Name.,2016,1h 46m,12A,"8.4
 (397K)",https://www.imdb.com/title/tt5311514/?ref_=chttp_t_79
Das,Boot,1981,2h 29m,AA,"8.3
 (289K)",https://www.imdb.com/title/tt0082096/?ref_=chttp_t_80
Braveheart,,1995,2h 58m,15,"8.3
 (1.2M)",https://www.imdb.com/title/tt0112573/?ref_=chttp_t_81
Princess,Mononoke,1997,2h 13m,PG,"8.3
 (485K)",https://www.imdb.com/title/tt0119698/?ref_=chttp_t_82
Oldboy,,2003,2h,18,"8.3
 (723K)",https://www.imdb.com/title/tt0364569/?ref_=chttp_t_83
3,Idiots,2009,2h 50m,12A,"8.4
 (485K)",https://www.imdb.com/title/tt1187043/?ref_=chttp_t_84
Dr.,Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,A,"8.3
 (552K)",https://www.imdb.com/title/tt0057012/?ref_=chttp_t_85
American,Beauty,1999,2h 2m,18,"8.3
 (1.3M)",https://www.imdb.com/title/tt0169547/?ref_=chttp_t_86
Capernaum,,2018,2h 6m,15,"8.4
 (125K)",https://www.imdb.com/title/tt8267604/?ref_=chttp_t_87
Singin',in the Rain,1952,1h 43m,U,"8.3
 (284K)",https://www.imdb.com/title/tt0045152/?ref_=chttp_t_88
Joker,,2019,2h 2m,15,"8.3
 (1.7M)",https://www.imdb.com/title/tt7286456/?ref_=chttp_t_89
Once,Upon a Time in America,1984,3h 49m,18,"8.3
 (409K)",https://www.imdb.com/title/tt0087843/?ref_=chttp_t_90
Toy,Story 3,2010,1h 43m,U,"8.3
 (978K)",https://www.imdb.com/title/tt0435761/?ref_=chttp_t_91
Star,Wars: Episode VI - Return of the Jedi,1983,2h 11m,U,"8.3
 (1.2M)",https://www.imdb.com/title/tt0086190/?ref_=chttp_t_92
Come,and See,1985,2h 22m,15,"8.3
 (124K)",https://www.imdb.com/title/tt0091251/?ref_=chttp_t_93
Requiem,for a Dream,2000,1h 42m,18,"8.3
 (977K)",https://www.imdb.com/title/tt0180093/?ref_=chttp_t_94
Ikiru,,1952,2h 23m,A,"8.3
 (103K)",https://www.imdb.com/title/tt0044741/?ref_=chttp_t_95
The,Hunt,2012,1h 55m,15,"8.3
 (412K)",https://www.imdb.com/title/tt2106476/?ref_=chttp_t_96
Incendies,,2010,2h 11m,15,"8.3
 (253K)",https://www.imdb.com/title/tt1255953/?ref_=chttp_t_97
Eternal,Sunshine of the Spotless Mind,2004,1h 48m,15,"8.3
 (1.2M)",https://www.imdb.com/title/tt0338013/?ref_=chttp_t_98
The,Apartment,1960,2h 5m,A,"8.3
 (221K)",https://www.imdb.com/title/tt0053604/?ref_=chttp_t_99
Lawrence,of Arabia,1962,3h 47m,PG,"8.3
 (342K)",https://www.imdb.com/title/tt0056172/?ref_=chttp_t_100
Heat,,1995,2h 50m,15,"8.3
 (809K)",https://www.imdb.com/title/tt0113277/?ref_=chttp_t_101
Scarface,,1983,2h 50m,18,"8.3
 (1M)",https://www.imdb.com/title/tt0086250/?ref_=chttp_t_102
Reservoir,Dogs,1992,1h 39m,18,"8.2
 (1.2M)",https://www.imdb.com/title/tt0105236/?ref_=chttp_t_103
2001:,A Space Odyssey,1968,2h 29m,U,"8.3
 (786K)",https://www.imdb.com/title/tt0062622/?ref_=chttp_t_104
Up,,2009,1h 36m,U,"8.3
 (1.2M)",https://www.imdb.com/title/tt1049413/?ref_=chttp_t_105
Double,Indemnity,1944,1h 47m,A,"8.3
 (182K)",https://www.imdb.com/title/tt0036775/?ref_=chttp_t_106
Like,Stars on Earth,2007,2h 42m,PG,"8.3
 (234K)",https://www.imdb.com/title/tt0986264/?ref_=chttp_t_107
North,by Northwest,1959,2h 16m,A,"8.3
 (369K)",https://www.imdb.com/title/tt0053125/?ref_=chttp_t_108
Full,Metal Jacket,1987,1h 56m,15,"8.2
 (853K)",https://www.imdb.com/title/tt0093058/?ref_=chttp_t_109
M,,1931,1h 57m,A,"8.3
 (183K)",https://www.imdb.com/title/tt0022100/?ref_=chttp_t_110
A,Separation,2011,2h 3m,PG,"8.3
 (279K)",https://www.imdb.com/title/tt1832382/?ref_=chttp_t_111
Amélie,,2001,2h 2m,15,"8.2
 (842K)",https://www.imdb.com/title/tt0211915/?ref_=chttp_t_112
Vertigo,,1958,2h 8m,A,"8.2
 (460K)",https://www.imdb.com/title/tt0052357/?ref_=chttp_t_113
Citizen,Kane,1941,1h 59m,A,"8.2
 (494K)",https://www.imdb.com/title/tt0033467/?ref_=chttp_t_114
Die,Hard,1988,2h 12m,18,"8.2
 (1M)",https://www.imdb.com/title/tt0095016/?ref_=chttp_t_115
To,Kill a Mockingbird,1962,2h 9m,A,"8.2
 (351K)",https://www.imdb.com/title/tt0056592/?ref_=chttp_t_116
Indiana,Jones and the Last Crusade,1989,2h 7m,12A,"8.2
 (865K)",https://www.imdb.com/title/tt0097576/?ref_=chttp_t_117
